Artist,Track,acousticness,danceability,duration_ms,energy,followers,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence
Hank Williams,Your Cheatin' Heart - Single Version,0.777,0.665,162600,0.239,511362,3.51e-05,0,0.145,-11.613,1,45,0.0286,127.783,4,0.663
Red Foley,Alabama Jubilee,0.335,0.794,167907,0.622,16928,0.000289,0,0.319,-13.444,1,35,0.052,125.305,4,0.901
Elvis Presley,(Let Me Be Your) Teddy Bear,0.736,0.723,106627,0.621,4088323,0.0,9,0.297,-7.434,0,52,0.108,88.733,4,0.932
Ray Price,City Lights,0.891,0.326,178979,0.495,72800,0.0,10,0.241,-10.839,1,37,0.0386,109.915,4,0.723
Don Gibson,Oh Lonesome Me,0.76,0.714,150507,0.592,47381,1.23e-05,10,0.0885,-12.388,1,46,0.0356,102.987,4,0.929
Red Foley,Too Old To Cut The Mustard,0.772,0.82,172000,0.477,68845,0.0,2,0.0622,-11.189,1,41,0.0441,106.107,4,0.807
Johnny Cash,Big River,0.854,0.632,151427,0.559,3887951,0.000103,5,0.127,-10.49,1,54,0.0674,182.942,4,0.884
Porter Wagoner,A Satisfied Mind,0.945,0.732,166040,0.243,13065,3.85e-05,4,0.0955,-7.638,1,35,0.0299,115.14,3,0.432
Eddy Arnold,Just Call Me Lonesome,0.812,0.633,155307,0.232,43450,0.0,7,0.265,-11.325,1,31,0.0314,121.855,4,0.622
Lefty Frizzell,If You've Got the Money I've Got the Time - 78rpm Version,0.83,0.545,179307,0.392,56713,9.41e-05,2,0.0903,-10.091,1,44,0.0481,208.426,4,0.951
Johnny Cash,Don't Take Your Guns to Town,0.864,0.629,182667,0.204,3887951,0.0,10,0.0863,-12.619,1,54,0.075,89.199,3,0.489
Faron Young,If You Ain't Lovin' (You Ain't Livin'),0.752,0.625,142000,0.416,49204,0.0,7,0.0853,-10.282,1,37,0.0316,149.44,4,0.833
Bill Justis,Raunchy,0.764,0.506,144827,0.742,882,0.767,2,0.0854,-5.796,1,38,0.03,76.353,4,0.731
The Browns,The Three Bells,0.893,0.47,169573,0.159,880888,0.0,7,0.124,-14.795,1,39,0.0403,106.488,4,0.418
Johnny Cash,"Cry, Cry, Cry - Long Version",0.779,0.783,183000,0.615,3887951,0.000324,5,0.153,-10.7,1,38,0.0754,104.663,4,0.9
Eddy Arnold,How's the World Treating You,0.952,0.528,176600,0.168,43450,0.000151,2,0.289,-12.053,1,37,0.0305,82.83,4,0.39
Marty Robbins,El Paso,0.835,0.654,259307,0.452,228714,2.89e-05,2,0.16,-9.709,1,62,0.03,106.662,3,0.691
Lefty Frizzell,Forever And Always,0.69,0.623,150453,0.0946,56713,7.68e-05,7,0.183,-15.174,1,35,0.0293,96.551,4,0.428
Mary Ford,Mockin' Bird Hill,0.762,0.604,140133,0.408,21947,0.0,1,0.185,-9.207,1,20,0.0337,164.241,3,0.762
Johnny Cash,A Boy Named Sue - Live Version,0.777,0.699,224693,0.439,3887951,0.0,10,0.71,-11.956,1,35,0.183,101.495,4,0.913
Porter Wagoner,Green Green Grass of Home,0.651,0.679,178267,0.202,13065,0.000722,3,0.117,-17.938,1,45,0.0295,95.89,4,0.591
Floyd Cramer,Last Date - Instrumental,0.858,0.615,146760,0.306,10843,0.958,0,0.15,-12.026,1,49,0.0289,103.818,3,0.613
Loretta Lynn,Blue Kentucky Girl,0.785,0.679,163640,0.402,365525,0.000186,11,0.105,-9.49,1,44,0.0347,113.138,4,0.484
Conway Twitty,The Image of Me,0.338,0.557,177333,0.438,432028,8.17e-06,9,0.136,-6.034,1,45,0.0268,87.895,3,0.45
Porter Wagoner,We'll Get Ahead Someday,0.333,0.68,117053,0.404,13065,0.0,11,0.114,-12.732,1,43,0.0307,82.02,4,0.917
Johnny Cash,Jackson (with June Carter Cash),0.519,0.741,165827,0.615,3887951,0.000344,0,0.407,-8.072,1,63,0.0358,128.496,4,0.799
Wynn Stewart,It's Such A Pretty World Today,0.854,0.622,150094,0.344,880888,0.0,4,0.31,-12.833,1,43,0.0396,118.377,4,0.673
Faron Young,Wine Me Up,0.133,0.547,144120,0.254,49204,8.24e-05,9,0.263,-16.548,1,43,0.0461,139.65,4,0.903
George Jones,The Race Is On,0.247,0.428,127400,0.701,591056,0.0,9,0.154,-7.73,1,56,0.0658,170.419,4,0.918
David Houston,Almost Persuaded,0.861,0.251,176360,0.338,8423,0.0,8,0.144,-11.897,1,46,0.0382,81.642,3,0.353
Ferlin Husky,Timber I'm Falling,0.526,0.757,152800,0.701,33497,4.84e-05,4,0.121,-7.345,1,40,0.0347,112.947,4,0.884
Glen Campbell,Wichita Lineman - Remastered,0.326,0.192,186200,0.392,222957,0.000199,5,0.248,-11.667,1,64,0.0328,172.312,4,0.391
Tammy Wynette,I Don't Wanna Play House,0.806,0.546,154627,0.258,294192,1.06e-05,7,0.165,-12.894,1,46,0.0317,100.683,4,0.464
Bobby Bare,The Streets of Baltimore,0.629,0.578,157640,0.447,88597,0.0,4,0.19,-14.212,1,44,0.032,116.128,4,0.808
Merle Haggard,Branded Man - Remastered,0.386,0.731,186800,0.465,662210,0.0,2,0.0854,-8.133,1,42,0.03,120.877,4,0.519
Marty Robbins,Don't Worry,0.879,0.648,194160,0.165,228714,0.000216,4,0.13,-16.446,1,46,0.0348,99.585,4,0.435
Hawkshaw Hawkins,Lonesome 7-7203,0.812,0.616,166053,0.332,4678,0.000401,9,0.332,-13.455,1,42,0.0319,115.88,4,0.662
Roy Clark,Yesterday When I Was Young,0.555,0.328,200240,0.365,33800,0.0,2,0.146,-13.772,0,46,0.0582,178.103,4,0.344
Porter Wagoner,The Carroll County Accident,0.346,0.643,169200,0.504,13065,0.0,7,0.247,-11.231,1,39,0.0395,91.688,4,0.705
Tom T. Hall,Homecoming - Single Version,0.935,0.617,197293,0.357,116905,0.00945,11,0.145,-15.751,1,44,0.0429,122.837,4,0.666
Buck Owens,Act Naturally,0.336,0.552,143693,0.474,158936,0.0,7,0.173,-6.847,1,59,0.0275,92.156,4,0.7
Charley Pride,Does My Ring Hurt Your Finger,0.777,0.399,137120,0.35,254150,0.0,11,0.115,-10.223,1,47,0.0286,107.61,4,0.667
Henson Cargill,Skip a Rope,0.608,0.623,160785,0.51,2599,0.00267,6,0.0699,-13.092,0,50,0.0374,145.604,4,0.54
Glen Campbell,Gentle On My Mind - Remastered,0.189,0.597,178627,0.415,222957,0.0,3,0.123,-13.799,1,59,0.0323,108.987,4,0.826
Jimmy Dean,Big Bad John,0.596,0.516,182560,0.457,42280,0.0,8,0.106,-12.609,1,57,0.184,173.934,4,0.455
Dave Dudley,Six Days On The Road,0.708,0.703,134707,0.549,17424,5.57e-06,2,0.361,-10.952,1,46,0.0493,90.382,4,0.919
Don Gibson,Sea of Heartbreak,0.422,0.59,155040,0.586,47381,4.46e-05,7,0.337,-9.158,1,53,0.0344,91.17,4,0.729
Bill Anderson,Bright Lights and Country Music,0.0814,0.66,160440,0.378,35537,4.67e-05,9,0.11,-12.857,1,36,0.0292,135.391,4,0.737
Johnny Cash,Ring of Fire,0.623,0.659,158427,0.585,3887951,0.000213,7,0.348,-8.189,1,71,0.0288,104.111,4,0.784
Ray Price,Don't You Ever Get Tired of Hurting Me,0.661,0.372,168240,0.184,72800,0.361,7,0.207,-16.772,1,41,0.031,83.535,4,0.541
Eddy Arnold,Make the World Go Away,0.882,0.213,161533,0.213,43450,3.16e-05,1,0.0633,-11.896,1,47,0.0345,206.983,3,0.519
Bill Anderson,Still - Single Version,0.678,0.561,166973,0.142,35537,0.00631,8,0.226,-18.972,1,42,0.0433,94.454,4,0.293
Bobbie Gentry,Ode To Billie Joe,0.721,0.637,255002,0.189,29641,0.0,7,0.0939,-10.726,1,55,0.0471,120.142,4,0.695
Carl Butler,Don't Let Me Cross Over,0.871,0.59,177107,0.188,540,0.0,7,0.0877,-12.253,1,46,0.0302,113.907,3,0.521
Johnny Cash,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",0.27,0.661,169293,0.571,3887951,0.0,8,0.98,-12.317,1,59,0.103,122.396,4,0.826
Jim Ed Brown,Pop a Top,0.687,0.524,140307,0.497,2787,5.66e-06,9,0.175,-10.824,1,45,0.0372,118.263,4,0.913
Buck Owens,Above And Beyond,0.597,0.52,148000,0.525,158936,0.0,8,0.0847,-7.449,1,42,0.0412,147.601,5,0.743
Jack Greene,Statue of a Fool,0.845,0.474,181107,0.249,12942,0.00437,10,0.129,-14.124,1,40,0.0346,110.078,3,0.216
Tammy Wynette,D-I-V-O-R-C-E,0.826,0.628,175440,0.383,294192,0.0,9,0.151,-9.216,1,50,0.0296,99.789,4,0.564
Connie Smith,Once a Day,0.451,0.502,140120,0.353,38299,0.0,6,0.0583,-9.957,1,48,0.0317,136.746,4,0.751
