YEAR,ID1,ArtistName,SongTitle
,631,george harrison,my sweet lord
,632,donny osmond,sweet and innocent
,633,ocean,put your hand in the hand
,634,daddy dewdrop,chickaboom dont ya jes love it
,635,the carpenters,for all we know
,636,sammi smith,help me make it through the night
,637,the carpenters,rainy days and mondays
,638,gordon lightfoot,if you could read my mind
,639,cher,gypsys tramps  thieves
,640,the jackson 5,never can say goodbye
,641,lynn anderson,rose garden
,642,hamilton joe frank  reynolds,dont pull your love
,643,ringo starr,it dont come easy
,644,nitty gritty dirt band,mr bojangles
,645,the fuzz,i love you for all seasons
,646,the dramatics,whatcha see is whatcha get
,647,carly simon,thats the way ive always heard it should be
,648,stevie wonder,if you really love me
,649,aretha franklin,spanish harlem
,650,helen reddy,i dont know how to love him
,651,the osmonds,yoyo
,652,aretha franklin,bridge over troubled water
,653,the partridge family,doesnt somebody want to be wanted
,654,tommy james,draggin the line
,655,ike  tina turner,proud mary
,656,chicago,beginningscolour my world
,657,the bells,stay awhile
,658,the stampeders,sweet city woman
,659,lobo,me and you and a dog named boo
,660,paul mccartney,another dayoh woman oh why
,661,bread,if
,662,marvin gaye,mercy mercy me the ecology
,663,brewer  shipley,one toke over the line
,664,8th day,shes not just another woman
,665,freda payne,bring the boys home
,666,rare earth,i just want to celebrate
,667,delaney  bonnie  friends,never ending song of love
,668,freddie hart,easy loving
,669,three dog night,liar
,670,the honey cone,stickup
,671,mac and katie kissoon,chirpy chirpy cheep cheep
,672,andy williams,where do i begin love story
,673,cat stevens,wild world
,674,jerry reed,when youre hot youre hot
,675,the beginning of the end,funky nassau
,676,olivia newtonjohn,if not for you
,677,king floyd,groove me
,678,bobby goldsboro,watching scotty grow
,679,matthews southern comfort,woodstock
,680,judy collins,amazing grace
,681,dave edmunds,i hear you knocking
,682,bee gees,lonely days
,683,the fortunes,here comes that rainy day feeling again
,684,the who,wont get fooled again
,685,denise lasalle,trapped by a thing called love
,686,the jackson 5,mamas pearl
,687,the buoys,timothy
,688,the partridge family,i woke up in love this morning
,689,isaac hayes,theme from shaft
,690,gladys knight  the pips,if i were your woman
,691,neil diamond,i ami said
,692,paul stookey,the wedding song there is love
,693,wilson pickett,dont knock my love
,694,the doors,love her madly
,695,richie havens,here comes the sun
,696,wadsworth mansion,sweet mary
,697,brenda  the tabulations,right on the tip of my tongue
,698,the 5th dimension,one less bell to answer
,699,the doors,riders on the storm
,700,perry como,somos novios its impossible
,701,roberta flack,the first time ever i saw your face
,702,gilbert osullivan,alone again naturally
,703,don mclean,american pie
,704,harry nilsson,without you
,705,sammy davis jr,the candy man
,706,joe tex,i gotcha
,707,bill withers,lean on me
,708,mac davis,baby dont get hooked on me
,709,melanie,brand new key
,710,wayne newton,daddy dont you walk so fast
,711,al green,lets stay together
,712,looking glass,brandy youre a fine girl
,713,the chilites,oh girl
,714,gallery,nice to be with you
,715,chuck berry,my dingaling
,716,luther ingram,if loving you is wrong i dont want to be right
,717,neil young,heart of gold
,718,the stylistics,betcha by golly wow
,719,the staple singers,ill take you there
,720,michael jackson,ben
,721,robert john,the lion sleeps tonight
,722,billy preston,outaspace
,723,war,slippin into darkness
,724,the hollies,long cool woman in a black dress
,725,mouth  macneal,how do you do
,726,neil diamond,song sung blue
,727,america,a horse with no name
,728,hot butter,popcorn
,729,the main ingredient,everybody plays the fool
,730,climax,precious and few
,731,the 5th dimension,last night i didnt get to sleep at all
,732,the moody blues,nights in white satin
,733,raspberries,go all the way
,734,cornelius brothers  sister rose,too late to turn back now
,735,the ojays,back stabbers
,736,the osmonds,down by the lazy river
,737,jonathan edwards,sunshine
,738,mel and tim,starting all over again
,739,badfinger,day after day
,740,elton john,rocket man
,741,michael jackson,rockin robin
,742,daniel boone,beautiful sunday
,743,dennis coffey,scorpio
,744,cat stevens,morning has broken
,745,arlo guthrie,city of new orleans
,746,ricky nelson,garden party
,747,johnny nash,i can see clearly now
,748,elvis presley,burning love
,749,betty wright,clean up woman
,750,argent,hold your head up
,751,the chakachas,jungle fever
,752,bread,everything i own
,753,the dramatics,in the rain
,754,al green,look what you done for me
,755,donna fargo,the happiest girl in the whole usa
,756,t rex,get it on
,757,paul simon,mother and child reunion
,758,roberta flack  donny hathaway,where is the love
,759,al green,im still in love with you
,760,derek and the dominos,layla
,761,aretha franklin,day dreaming
,762,cher,the way of love
,763,three dog night,black and white
,764,dr hook  the medicine show,sylvias mother
,765,the carpenters,hurting each other
,766,harry nilsson,coconut
,767,donny osmond,puppy love
,768,jim croce,you dont mess around with jim
,769,commander cody and his lost planet airmen,hot rod lincoln
,770,sonny  cher,a cowboys work is never done
,771,apollo 100,joy
,772,carly simon,anticipation
,773,three dog night,never been to spain
,774,charley pride,kiss an angel good mornin
,775,alice cooper,schools out
,776,chicago,saturday in the park
,777,joe simon,drowning in the sea of love
,778,bill withers,use me
,779,sly  the family stone,family affair
,780,jimmy castor bunch,troglodyte cave man
,781,redbone,the witch queen of new orleans
,782,curtis mayfield,freddies dead
,783,joe simon,power of love
,784,jerry butler  brenda lee eager,aint understanding mellow
,785,harry chapin,taxi
,786,beverly bremers,dont say you dont remember
,787,bobby vinton,sealed with a kiss
,788,todd rundgren,i saw the light
,789,sailcat,motorcycle mama
,790,original cast of godspell,day by day
,791,yes,roundabout
,792,jackson browne,doctor my eyes
,793,the new seekers,id like to teach the world to sing in perfect harmony
,794,don mclean,vincent
,795,the detroit emeralds,baby let me take you in my arms
,796,rick springfield,speak to the sky
,797,the hillside singers,id like to teach the world to sing in perfect harmony
,798,love unlimited,walkin in the rain with the one i love
,799,james brown,get on the good foot
,800,the isley brothers,pop that thang
,801,tony orlando and dawn,tie a yellow ribbon round the ole oak tree
,802,jim croce,bad bad leroy brown
,803,roberta flack,killing me softly with his song
,804,marvin gaye,lets get it on
,805,paul mccartney  wings,my love
,806,kris kristofferson,why me
,807,elton john,crocodile rock
,808,billy preston,will it go round in circles
,809,carly simon,youre so vain
,810,diana ross,touch me in the morning
,811,vicki lawrence,the night the lights went out in georgia
,812,clint holmes,playground in my mind
,813,stories,brother louie
,814,helen reddy,delta dawn
,815,billy paul,me and mrs jones
,816,edgar winter group,frankenstein
,817,dobie gray,drift away
,818,sweet,little willy
,819,stevie wonder,you are the sunshine of my life
,820,cher,halfbreed
,821,the isley brothers,that lady
,822,sylvia,pillow talk
,823,grand funk railroad,were an american band
,824,dr john,right place wrong time
,825,skylark,wildflower
,826,stevie wonder,superstition
,827,paul simon,loves me like a rock
,828,maureen mcgovern,the morning after
,829,john denver,rocky mountain high
,830,stealers wheel,stuck in the middle with you
,831,three dog night,shambala
,832,the ojays,love train
,833,barry white,im gonna love you just a little more baby
,834,tony orlando and dawn,say has anybody seen my sweet gypsy rose
,835,eddie kendricks,keep on truckin
,836,king harvest,dancing in the moonlight
,837,anne murray,dannys song
